Compound_Name,File_Name,Pose_Number,Affinity,CNNaffinity,CNNvariance,Intramolecular_energy,SMILES
 ZINC000012521149,IHAAMM.xaa_ligand_0001_docked.pdbqt,5.0,-5.58945,5.0861,0.33144,-0.26916,C1(=[C][C]=C([C]=[C]1)[N]S(=O)(=O)C1=[C][C]=[C][C]=[C]1)C(=O)N([C])[C]C1=[C][C]=C([C]=C1O[C])O[C]	
 ZINC000169688936,IHAAMM.xaa_ligand_0002_docked.pdbqt,2.0,-5.49148,5.13828,0.15378,1.98616,O=C1N[C](/C(=C(\[O])/C2=[C][C]=[C][C]=[C]2)/[C@@](N1)(C(F)(F)F)O)C1=[C][C]=C([C]=[C]1)C(F)(F)F	
 ZINC000169688938,IHAAMM.xaa_ligand_0003_docked.pdbqt,5.0,-5.02389,4.89851,0.61374,2.37282,O=C1N[C](/C(=C(\[O])/C2=[C][C]=[C][C]=[C]2)/[C@@](N1)(C(F)(F)F)O)C1=[C][C]=C([C]=[C]1)Br	
 ZINC000021885422,IHAAMM.xaa_ligand_0004_docked.pdbqt,1.0,-7.13153,5.43443,0.20955,-1.03615,[C]1(N=C(N=C2[C]C(=O)[N]N12)C1=[C][C]=C([C]=[C]1)Cl)S[C]C(=O)OC1=[C][C]=C([C]=[C]1)[C][C]	
 ZINC000012630938,IHAAMM.xaa_ligand_0005_docked.pdbqt,2.0,-4.81705,4.99606,0.41626,-1.57463,C1(=[C]C(=[C][C]=[C]1)[N]S(=O)(=O)C1=[C][C]=[C][C]=[C]1)C(=O)N([C])[C]C1=C([C]=C([C]=[C]1)O[C])O[C]	
 ZINC000012605187,IHAAMM.xaa_ligand_0006_docked.pdbqt,6.0,-5.14181,5.05777,0.11726,-0.65635,C1(=[C][C]=[C]C(=[C]1)S(=O)(=O)[N]C1=[C]C(=C([C]=[C]1)O[C])Br)C(=O)N[C]([C])[C][C]	
 ZINC000015732542,IHAAMM.xaa_ligand_0007_docked.pdbqt,3.0,-5.86358,5.3825,0.02708,-1.29947,C1(=NC2=[C]C(=O)[N]N2C(=N1)S[C]C(=O)NC1=C([C]=[C][C]=[C]1)Cl)C1=[C][C]=[C][C]=C1[C]	
 ZINC000023138097,IHAAMM.xaa_ligand_0008_docked.pdbqt,8.0,-5.66875,5.61321,0.02065,-1.46209,C1(=NC(=[C]C(=O)[N]1)[C]C(=O)N[C][C]C1=[C]NC2=C1[C]=[C][C]=[C]2)S[C]C1=[C]C(=[C][C]=[C]1)O[C]	
 ZINC000023137928,IHAAMM.xaa_ligand_0009_docked.pdbqt,9.0,-5.98785,5.54037,0.13256,-0.53811,[C](C(=O)N1[C][C]N([C][C]1)C1=C([C]=[C][C]=[C]1)F)C1=NC(=NC(=O)[C]1)S[C]C1=[C][C]=[C][C]=[C]1	
 ZINC000023137971,IHAAMM.xaa_ligand_0010_docked.pdbqt,3.0,-5.32239,6.18268,0.51039,-1.23279,[C](C1=NC(=NC(=O)[C]1)S[C]C1=[C][C]=[C][C]=[C]1)C(=O)Nc1nc(c(s1)C(=O)O[C][C])[C]	
